Unnamed: 0,Task_Name,Task_ID,Experiment_Name,Experiment_ID,metric_best_validation_accuracy,env_ADD_ELMO,env_ADD_VAE,env_CLASSIFIER,env_THROTTLE
300,training_33,tk_9bxmcc3pzfs9,+ELMo,ex_m0kmnqqmxs38,0.625,1,0,lstm,200
302,training_34,tk_remis7sq8t92,+ELMo,ex_m0kmnqqmxs38,0.7938,1,0,boe,200
308,training_48,tk_42tvfloanled,+ELMo,ex_m0kmnqqmxs38,0.7509999999999999,1,0,cnn,200
311,training_56,tk_fkp1zfqoimzn,+ELMo,ex_m0kmnqqmxs38,0.7904,1,0,lstm,200
314,training_21,tk_27ugmdiac9wq,+ELMo,ex_m0kmnqqmxs38,0.7604,1,0,boe,200
315,training_8,tk_osak3v9jxqcx,+ELMo,ex_m0kmnqqmxs38,0.7378,1,0,cnn,200
320,training_44,tk_jo9l0nq8wod6,+ELMo,ex_m0kmnqqmxs38,0.7334,1,0,cnn,200
321,training_81,tk_5qe348z9qp0g,+ELMo,ex_m0kmnqqmxs38,0.7914,1,0,lstm,200
326,training_70,tk_ddztgiq31psc,+ELMo,ex_m0kmnqqmxs38,0.738,1,0,cnn,200
328,training_15,tk_g11opkwrgxbd,+ELMo,ex_m0kmnqqmxs38,0.743,1,0,cnn,200
331,training_2,tk_l0ujkzuededp,+ELMo,ex_m0kmnqqmxs38,0.7234,1,0,cnn,200
332,training_28,tk_qgtst8axtylr,+ELMo,ex_m0kmnqqmxs38,0.6784,1,0,boe,200
333,training_80,tk_ru6c764smd14,+ELMo,ex_m0kmnqqmxs38,0.7698,1,0,boe,200
338,training_82,tk_qnj6eyt7qgl2,+ELMo,ex_m0kmnqqmxs38,0.745,1,0,boe,200
343,training_55,tk_19a4t8gj1bt2,+ELMo,ex_m0kmnqqmxs38,0.7390000000000001,1,0,cnn,200
345,training_29,tk_ag04ir7pf52y,+ELMo,ex_m0kmnqqmxs38,0.7176,1,0,cnn,200
346,training_40,tk_lp3bfy2j2kcs,+ELMo,ex_m0kmnqqmxs38,0.6842,1,0,lstm,200
348,training_88,tk_nso4u24m1oai,+ELMo,ex_m0kmnqqmxs38,0.7378,1,0,cnn,200
351,training_79,tk_bpegcs6186pl,+ELMo,ex_m0kmnqqmxs38,0.7709999999999999,1,0,boe,200
355,training_30,tk_8loj0546042b,+ELMo,ex_m0kmnqqmxs38,0.741,1,0,cnn,200
357,training_89,tk_cbt8hzg4ek7r,+ELMo,ex_m0kmnqqmxs38,0.7796,1,0,boe,200
361,training_42,tk_ob3zmqvpabqg,+ELMo,ex_m0kmnqqmxs38,0.7924,1,0,boe,200
362,training_61,tk_67gjp3if995l,+ELMo,ex_m0kmnqqmxs38,0.7434,1,0,cnn,200
363,training_24,tk_zrtne73hubvc,+ELMo,ex_m0kmnqqmxs38,0.7522,1,0,cnn,200
365,training_38,tk_qpiwpuhqpy17,+ELMo,ex_m0kmnqqmxs38,0.7488,1,0,cnn,200
367,training_52,tk_twnq7c5b9v90,+ELMo,ex_m0kmnqqmxs38,0.7382,1,0,cnn,200
369,training_91,tk_2q9kj2i1l43e,+ELMo,ex_m0kmnqqmxs38,0.6940000000000001,1,0,cnn,200
370,training_68,tk_g5njypleimz3,+ELMo,ex_m0kmnqqmxs38,0.7268,1,0,lstm,200
371,training_23,tk_4jv1n3gvsqek,+ELMo,ex_m0kmnqqmxs38,0.7232,1,0,cnn,200
372,training_92,tk_cvtvwn2kw1or,+ELMo,ex_m0kmnqqmxs38,0.7512,1,0,cnn,200
373,training_86,tk_xaog56kprvyw,+ELMo,ex_m0kmnqqmxs38,0.7422,1,0,cnn,200
374,training_83,tk_1jxrj0j9yhcl,+ELMo,ex_m0kmnqqmxs38,0.7614,1,0,boe,200
375,training_93,tk_2bbnts9xgepb,+ELMo,ex_m0kmnqqmxs38,0.7498,1,0,cnn,200
376,training_37,tk_stirpvw7wpz2,+ELMo,ex_m0kmnqqmxs38,0.7346,1,0,cnn,200
377,training_74,tk_2defx7a8fv57,+ELMo,ex_m0kmnqqmxs38,0.7738,1,0,lstm,200
378,training_46,tk_gnms689uh9e3,+ELMo,ex_m0kmnqqmxs38,0.763,1,0,boe,200
379,training_66,tk_eco4qylu2dvx,+ELMo,ex_m0kmnqqmxs38,0.7614,1,0,boe,200
380,training_47,tk_m589dd6t41dz,+ELMo,ex_m0kmnqqmxs38,0.7234,1,0,cnn,200
381,training_97,tk_5c245i48pbc8,+ELMo,ex_m0kmnqqmxs38,0.7424,1,0,cnn,200
382,training_53,tk_ognlctx59fjs,+ELMo,ex_m0kmnqqmxs38,0.7268,1,0,cnn,200
383,training_50,tk_vzz0crq8mv3g,+ELMo,ex_m0kmnqqmxs38,0.6784,1,0,boe,200
384,training_11,tk_wfr9fkuik2lg,+ELMo,ex_m0kmnqqmxs38,0.7042,1,0,lstm,200
385,training_26,tk_6v4ot4m5dt72,+ELMo,ex_m0kmnqqmxs38,0.7836,1,0,boe,200
386,training_36,tk_bgqeq9j3u130,+ELMo,ex_m0kmnqqmxs38,0.7766,1,0,lstm,200
387,training_10,tk_gzdf7d84h8lx,+ELMo,ex_m0kmnqqmxs38,0.743,1,0,cnn,200
388,training_54,tk_63yh7tpcl0bb,+ELMo,ex_m0kmnqqmxs38,0.7894,1,0,boe,200
389,training_95,tk_h1d42sf8e4k7,+ELMo,ex_m0kmnqqmxs38,0.7796,1,0,boe,200
390,training_31,tk_ou2gje4q6mre,+ELMo,ex_m0kmnqqmxs38,0.7328,1,0,cnn,200
391,training_43,tk_ah0n6azypd3r,+ELMo,ex_m0kmnqqmxs38,0.7868,1,0,lstm,200
392,training_76,tk_r97fsw15o0kp,+ELMo,ex_m0kmnqqmxs38,0.7924,1,0,boe,200
393,training_62,tk_z1eky9hj0y1b,+ELMo,ex_m0kmnqqmxs38,0.7898,1,0,boe,200
394,training_13,tk_a0uav4cxry51,+ELMo,ex_m0kmnqqmxs38,0.7536,1,0,cnn,200
395,training_63,tk_kpgafd8y8fyt,+ELMo,ex_m0kmnqqmxs38,0.795,1,0,boe,200
396,training_72,tk_e97qvniqjxzg,+ELMo,ex_m0kmnqqmxs38,0.7698,1,0,boe,200
397,training_71,tk_myakiqihj62h,+ELMo,ex_m0kmnqqmxs38,0.795,1,0,boe,200
398,training_32,tk_kl4m9ip1aebl,+ELMo,ex_m0kmnqqmxs38,0.7922,1,0,boe,200
399,training_51,tk_4gtzmhjvcz8k,+ELMo,ex_m0kmnqqmxs38,0.6426,1,0,lstm,200
